title,message_id,timestamp,author,who_it_is_replying_to,parent_message_id
No Subject,LocalLinkMissing_0,N/A,John Paul Adrian Glaubitz,,
Re: [xz-devel] RHEL7 ABI patch (913ddc5) breaks linking on ia64,Y30uLyd8la/b8UTW@breakpoint.cc,"Tue, 22 Nov 2022 12:17:05 -0800",Sebastian Andrzej Siewior,,
Re: [xz-devel] RHEL7 ABI patch (913ddc5) breaks linking on ia64,20221123011130.1c166964@kaneli,"Tue, 22 Nov 2022 15:11:34 -0800",Lasse Collin,Sebastian Andrzej Siewior,Y30uLyd8la/b8UTW@breakpoint.cc
Re: [xz-devel] RHEL7 ABI patch (913ddc5) breaks linking on ia64,539fb3d8-3bc8-bd59-dd2c-382e2def41b1@physik.fu-berlin.de,"Wed, 23 Nov 2022 00:22:59 -0800",John Paul Adrian Glaubitz,Lasse Collin,20221123011130.1c166964@kaneli
Re: [xz-devel] RHEL7 ABI patch (913ddc5) breaks linking on ia64,bc5ee5b4-9133-920a-9243-a9c405b1a6cd@physik.fu-berlin.de,"Wed, 23 Nov 2022 00:42:42 -0800",John Paul Adrian Glaubitz,Lasse Collin,20221123011130.1c166964@kaneli
Re: [xz-devel] RHEL7 ABI patch (913ddc5) breaks linking on ia64,20221123133147.512ece44@kaneli,"Wed, 23 Nov 2022 03:31:56 -0800",Lasse Collin,John Paul Adrian Glaubitz,bc5ee5b4-9133-920a-9243-a9c405b1a6cd@physik.fu-berlin.de
Re: [xz-devel] RHEL7 ABI patch (913ddc5) breaks linking on ia64,e7d15e42-27cb-7cee-4f01-5e5e599e8582@physik.fu-berlin.de,"Wed, 23 Nov 2022 05:33:51 -0800",John Paul Adrian Glaubitz,Lasse Collin,20221123133147.512ece44@kaneli
Re: [xz-devel] RHEL7 ABI patch (913ddc5) breaks linking on ia64,20221123160858.4feac65b@kaneli,"Wed, 23 Nov 2022 06:09:10 -0800",Lasse Collin,John Paul Adrian Glaubitz,e7d15e42-27cb-7cee-4f01-5e5e599e8582@physik.fu-berlin.de
Re: [xz-devel] RHEL7 ABI patch (913ddc5) breaks linking on ia64,1224204e-236a-09b6-269d-5d9c15b1d9eb@physik.fu-berlin.de,"Wed, 23 Nov 2022 12:40:13 -0800",John Paul Adrian Glaubitz,Lasse Collin,20221123160858.4feac65b@kaneli
Re: [xz-devel] RHEL7 ABI patch (913ddc5) breaks linking on ia64,3d6ca9b1-a3eb-902a-6766-640250405d87@physik.fu-berlin.de,"Wed, 23 Nov 2022 13:17:09 -0800",John Paul Adrian Glaubitz,Lasse Collin,20221123160858.4feac65b@kaneli
Re: [xz-devel] RHEL7 ABI patch (913ddc5) breaks linking on ia64,Y36JY1KspIjehA4+@breakpoint.cc,"Wed, 23 Nov 2022 12:58:23 -0800",Sebastian Andrzej Siewior,Lasse Collin,20221123160858.4feac65b@kaneli
