event,from,created_at,body,to
thread_started,alerque,2024-03-29T18:24:13Z,"I understand why the author(s) [of the analysis of the backdoor being distributed by this project](https://www.openwall.com/lists/oss-security/2024/03/29/4) decided not to notify upstream first since it looks like either the upstream *is* the compromise or at least are compromised themselves, so reporting here first would have done nothing except give the culprit time to wiggle. But the cat is out of the bag now and I see comments all over the place pinging the author. I think it's high time a bug report *here* notifies people following this tracker there is an issue. Also this serves as a request for a postmortem. Either this project has members that are bad actors or the members have themselves been deeply compromised. Most evidence seems to support the former. If there is evidence of the latter I suggest getting it out there post-haste.",['alerque']
commented,nickodell,2024-03-29T18:30:22Z,"Some more resources about this:

Red Hat has published a security advisory about this: https://nvd.nist.gov/vuln/detail/CVE-2024-3094

Xe Iaso has an excellent blog post about this: https://xeiaso.net/notes/2024/xz-vuln/

Debian has released a security advisory about this: https://lists.debian.org/debian-security-announce/2024/msg00057.html Users of testing, unstable and experimental are advised to update. Users of stable distributions are unaffected.

Ubuntu has not made an announcement, but I believe they are unaffected: the newest liblzma they ship is 5.4.1.",['alerque']
commented,FabioPedretti,2024-03-29T18:33:34Z,"Ubuntu published 5.6 in proposed for some time, then it looks like it was reverted:
https://bugs.launchpad.net/ubuntu/+source/xz-utils/+bug/2055422
Now they are syncing 5.6.1+really5.4.5-1 to make sure you get safer 5.4, even if you installed 5.6 the days it was in proposed:
https://launchpad.net/ubuntu/+source/xz-utils",['nickodell']
commented,alerque,2024-03-29T18:42:10Z,"[This comment on Hacker News](https://news.ycombinator.com/item?id=39866275) suggests *very* heavily the OP is and was a bad actor for a long time. All things considered it definitely sounds like deep review of lots of things (linked binaries, kernel, containers, etc.) is going to be needed and simply rolling back one release might not be enough.",['FabioPedretti']
commented,rubyFeedback,2024-03-29T18:43:52Z,"I think having some kind of blog or text-response may be useful, because after reading:

https://lwn.net/ml/oss-security/20240329155126.kjjfduxw2yrlxgzm@awork3.anarazel.de/

I am confused whether I am possibly affected. I assume no, because I do not use debian,
and compile from the released tarballs (source archive) here from github, but even then
it may be useful for the xz project to make a few comments (unless that has already
happened, but in this case I don't quite know where to read up on this).",awork3
commented,alerque,2024-03-29T18:51:16Z,[This comment on Hacker News](https://news.ycombinator.com/item?id=39866936) has some loose ends of a paper trail pointing not just to @JiaT75 but also @hansjans162 as likely being involved (or possibly an alias of the same actor?). Lots more rabbit holes to go down to root out the mess...,JiaT75
commented,nickodell,2024-03-29T18:57:24Z,"@rubyFeedback


It depends on how exactly you downloaded the file. If you went onto the [Releases](https://github.com/tukaani-project/xz/releases) page and downloaded the tarball, then you have the vulnerability. You can see this by opening one of the tar files, and opening m4/build-to-host, and looking at line 63, which is the same line that the openwall announcement says is part of the backdoor.

On the other hand, if you went to the home page, and you clicked on a tag, then clicked ""download zip,"" then you got the files that are in Git, which are different than the release tarball. You would not be affected by the vulnerability in that case. (Unless there is some other backdoor that we haven't found yet.)",rubyFeedback
commented,alerque,2024-03-29T19:01:09Z,"Following up on @nickodell, some of the exploit code has been checked into Git and around for *much longer* than the latest releases, but just stashed in an obfuscated and compressed file that (according to current preliminary analysis) wasn't getting *activated* until recently. The code to trigger the exploit code was only added in the release tarball and gated behind various conditions.

That doesn't mean other malicious things didn't happen in the past and deeper analysis is still being worked on to see if other triggers might have been present. The presently known and understood trigger was only recently activated and added to the tarballs.",nickodell
commented,scy,2024-03-29T19:05:41Z,"
I'd say, if you're a compression library, it makes a lot of sense to have binary files containing compressed data in the repo, as part of your test suite. Which is what happened here.",['alerque']
commented,AdnaneKhan,2024-03-29T19:06:05Z,"

They even added that file to the `.gitignore` (https://github.com/tukaani-project/xz/commit/4323bc3e0c1e1d2037d5e670a3bf6633e8a3031e). I wonder if the compressed files also _placed_ that file so if you ran tests and built from source you would still get the exploit.

@nickodell maybe there is another backdoor.",nickodell
